TEXT,FILENAME,TYPE FOLLOW,FOLLOW FILE (DEFAULT/SHORT/YES),FOLLOW FILE 2 (NO/LONG),GENERAL TAGS,,,SPECIFIC TAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about the last time you really hurt somebody you care about.,hurtsomeone,hardfollow,hurtsomeone2,,hurt,wrong,notfirst,thinking about,worried about,worrying,my temper,angry,anger,apologized,apologize,feel bad,awful,terrible,hurt,feelings,mistake,mistakes,stupid,took it out,take it out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And what about the last time someone you care about hurt you?,hurtsomeone2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's your first distinct memory of causing somebody pain?,capacitytohurt,,,,hurt,,,trouble,upset,hurt,angry,furious,mad,pissed,cry,cried,crying,sheltered,fight,fought,fighting,argue,argued,arguing,temper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you feel like in general right now you have enough people who love you and whom you love?,enoughlove,hardfollow,enoughlove2,,love,notfirst,penult,girlfriend,boyfriend,girlfriends,boyfriends,partner,partners,single,divorce,divorced,social,busy,lonely,alone,with someone,have someone,married,husband,husbands,wife,wives,kid,kids,children,weekends,evenings,nights,bed,wake up,waking up,baggage,special,listen,listener,apologize,apologizing,feelings,sensitive,insensitive,care,caring,accuse,accusing,accused,selfish,absorbed,ex,break up,broke up,fight,fighting,fought,argue,argued,arguing
This is kind of a big question but...why do you think you deserve to be loved?,enoughlove2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about the last time someone really made you feel loved?,feelloved,,,,love,,,lonely,alone,break up,broke up,depressing,picking up,pick up,bar,bars,okay cupid,okcupid,online,tinder,grinder,had someone,have someone,with someone,baggage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What in your day to day life are you grateful for?,gratefulfor,,,,belief,aboutyou,,stress,stressed,stressful,hard,luck,lucky,unlucky,work,worked,working,earn,earned,hustle,my own,scrape by,scraping by,savings,saved,by myself,barely making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where were you the last time you cried?,lastcried,hardfollow,lastcried2,,hurt,notfirst,,emotional,hide,hidden,emotions,sensitive,feel,feelings,hurt,upset,fight,fought,fighting,heart,affect,deeply,bullied,bully,mean,argue,argued,argument,freaked,lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me what prompted that? Like what made you cry?,lastcried2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you wish you'd done differently in your life?,donedifferent,,,,hurt,wrong,notfirst,overall,mistakes,good,perfect,great,happy,happiness,home,family,relationship,stable,stability,mistake,mistakes,regret,miss,lucky,luck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you often think about past loves? Like romantic loves?,pastloves,yesno,pastlovesyes,,love,,,break up,broke up,in love,loved,infatuated,heart,the one,true love,fucked up,crush,cold feet,fuck up,ex,girlfriend,boyfriend,fiance,divorce,divorced,jealous,jealousy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about the person who stands out the most?,pastlovesyes,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about your first crush. Like the first time you were really smitten with somebody.,firstcrush,hardfollow,firstcrush2,,love,,,loser,loner,lame,cool,popular,cute,pretty,school,dates,dating,dated,good-looking,handsome,sexy,shy,insecure,meeting people,hitting on,going out,picked up,pick up,picking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you think it was obvious how you felt?,firstcrush2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about the last time that you felt you were your own worst enemy.,ownworstenemy,,,,wrong,notfirst,,repeat,repeating,impatient,impatience,temper,mistake,mistakes,tempered,mad,anger,angry,lose,lost,freak,freaked,unfair,cruel,hurtful,hurt,ruin,ruined,destroy,destroyed,obsess,frozen,freeze,critical,criticism,,,,,,,,,,,,,,,,,,,,,,,,,,
What parts of your personality do you find yourself trying to change?,personalitychange,,,,wrong,hurt,,repeat,repeating,impatient,impatience,temper,mistake,mistakes,tempered,mad,anger,angry,lose,lost,freak,freaked,unfair,cruel,hurtful,hurt,ruin,ruined,destroy,destroyed,tragic,tragedy,self,myself,absorbed,self,obsessive,obsess,critical,criticism,,,,,,,,,,,,,,,,,,,,,
Can you tell me about a time when you failed a friend or a family member? Like maybe someone needed you and you weren't there for them?,failedfriend,,,,hurt,notfirst,,important,meaningful,person,raise,raised,believe,belief,disappoint,disappointed,disappointing,disappointment,vulnerable,scared,devastated,cried,crying,cry,shook,rattled,affected,furious,heartbroken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are you unhappy with in your life right now?,unhappywith,,,,worry,,,fine,busy,okay,getting,making,overworked,tired,tiring,hard,complain,complaints,hard,stress,stressed,working,yoga,meditation,meditate,time,sleep,sleeping,trouble,exercise,exercising,work,slept,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a time when you were cruel to someone else.,crueltosomeone,length,crueltosomeone2,,wrong,hurt,notfirst,good,fair,kind,ethical,straightforward,treat,treats,treating,should,shouldn't,wouldn't,thoughtful,thoughtfulness,respect,respectful,respects,think about,thinks about,thinking about,people,other people,empathy,sympathize,care,caring,i love,loved,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you can't think of a time then maybe a time when someone thought you were being cruel?,crueltosomeone2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about the last time you felt incredibly close to someone else.,closetosomeone,hardfollow,closetosomeone2,,love,,,lonely,alone,self,myself,wish,have someone,with someone,special,wake up,in bed,to bed,come home,go home,partner,people,i love,dating,meeting,online,apps,tinder,alienating,alienated,broke up,messed up,fucked,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's your relationship like now?,closetosomeone2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about the last time you flirted with someone.,flirtationlast,length,,flirtationlast2,sex,secret,,go out,friends,looking,single,dating,seeing,complicated,clear,unclear,with someone,girlfriend,girlfriends,boyfriend,boyfriends,horny,lonely,worked up,to fuck,wake up,waking up,to sleep,asleep,to bed,in bed,bring home,go home,alone,sleep with,,,,,,,,,,,,,,,,,,,,,,,,,,
And did anything happen with them?,flirtationlast2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you often experience the feeling of guilt?,guiltoften,yesno,guiltoften2,,worry,wrong,,done something,did something,hurt,ashamed,can't sleep,stay up,me up,fuck up,fucked up,can't fall asleep,up all night,shouldn't,apologize,apologize enough,apologized,stupid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What makes you feel guilty? Is it something that you struggle with?,guiltoften2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you describe the last bad dream you've had?,baddream,hardfollow,baddream2,,worry,,,can't sleep,stay up,me up,fuck up,fucked up,sleepless,fatigued,fatigue,wake up,waking up,to sleep,asleep,to bed,in bed,tired,tire,tires,worry,worries,worried,stress,stressed,stressing,thinking,think,dreams,unconscious,subconscious,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about your recurring dreams?,baddream2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you feel in control of your life?,controllife,,,,worry,,,tired,fatigue,fatigued,old,older,aging,aged,nowhere,nothing,accomplish,accomplished,accomplishments,purpose,going,plan,hard,achieve,achieved,die,dying,died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you happy with your life? ,happylife,,,,worry,,,tired,fatigue,fatigued,old,older,aging,aged,nowhere,nothing,accomplish,accomplished,accomplishments,purpose,going,plan,hard,achieve,achieved,die,dying,died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was your first experience with death?,death1,hardfollow,TBD,,childhood,notfirst,,grandfather,grandmother,grandma,grandpa,pet,dog,cat,pets,rabbit,bunny,hamster,fish,trauma,traumatic,sheltered,normal,healthy,nice,good,family,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That must have been really hard. Do you think about that time often? Do you think about mortality often?,TBD,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Do you have any secret hobbies that you feel embarrassed about?,Secrethobbies,,,,secret,notfirst,,tell,telling,told,hide,hiding,hidden,private,secretive,open,active,alone,my own,myself,talk,talking,friends,family,parents,know,don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the worst thing you've done to someone you care about?,worstthing,,,,wrong,hurt,notfirst,guilty,guilt,horrible,terrible,cruel,cruelty,hurt,hurtful,betray,betrayal,betrayed,furious,mad,angry,anger,temper,cry,cried,crying,bad,mean,upset,pissed,lost,drunk,drinking,drink,drank,,,,,,,,,,,,,,,,,,,,,,,,,,
